phase,elapsed_ms,raw,voltage_mv
medium,6400,1307,6357
medium,6450,1315,6392
medium,6500,1311,6375
medium,6550,1309,6363
medium,6600,1315,6392
medium,6650,1307,6357
medium,6700,1314,6392
medium,6750,1309,6363
medium,6800,1311,6375
medium,6850,1235,6005
medium,6900,1311,6375
medium,6950,1311,6375
medium,7000,1309,6363
medium,7050,1308,6363
medium,7100,1311,6375
medium,7150,1316,6398
medium,7200,1315,6392
medium,7250,1315,6392
medium,7300,1311,6375
medium,7350,1311,6375
medium,7400,1311,6375
medium,7450,1312,6381
medium,7500,1315,6392
medium,7550,1311,6375
medium,7600,1317,6404
medium,7650,1311,6375
medium,7700,1315,6392
medium,7750,1315,6392
medium,7800,1311,6375
medium,7850,1315,6392
medium,7900,1315,6392
medium,7950,1311,6375
medium,8000,1310,6369
medium,8050,1311,6375
medium,8100,1307,6357
medium,8150,1298,6310
medium,8200,1310,6369
medium,8250,1260,6128
medium,8300,1315,6392
medium,8350,1309,6363
medium,8400,1307,6357
medium,8450,1315,6392
medium,8500,1311,6375
medium,8550,1315,6392
medium,8600,1309,6363
medium,8650,1309,6363
medium,8700,1312,6381
medium,8750,1311,6375
medium,8800,1311,6375
medium,8850,1308,6363
medium,8900,1309,6363
medium,8950,1311,6375
medium,9000,1309,6363
medium,9050,1311,6375
medium,9100,1312,6381
medium,9150,1311,6375
medium,9200,1315,6392
medium,9250,1311,6375
medium,9300,1316,6398
medium,9350,1315,6392
medium,9400,1315,6392
medium,9450,1315,6392
medium,9500,1315,6392
medium,9550,1316,6398
medium,9600,1311,6375
medium,9650,1315,6392
medium,9700,1312,6381
medium,9750,1315,6392
medium,9800,1316,6398
medium,9850,1315,6392
medium,9900,1317,6404
medium,9950,1315,6392
medium,10000,1310,6369
medium,10050,1314,6392
medium,10100,1311,6375
medium,10150,1316,6398
medium,10200,1311,6375
medium,10250,1308,6363
medium,10300,1240,6028
medium,10350,1315,6392
medium,10400,1315,6392
medium,10450,1308,6363
medium,10500,1311,6375
medium,10550,1315,6392
medium,10600,1309,6363
medium,10650,1317,6404
medium,10700,1309,6363
medium,10750,1316,6398
medium,10800,1311,6375
medium,10850,1307,6357
medium,10900,1315,6392
medium,10950,1311,6375
medium,11000,1312,6381
medium,11050,1310,6369
medium,11100,1316,6398
medium,11150,1317,6404
medium,11200,1315,6392
medium,11250,1312,6381
medium,11300,1311,6375
medium,11350,1312,6381
medium,11400,1309,6363
medium,11450,1315,6392
medium,11500,1311,6375
medium,11550,1311,6375
medium,11600,1311,6375
medium,11650,1311,6375
medium,11700,1315,6392
medium,11750,1312,6381
medium,11800,1315,6392
medium,11850,1315,6392
medium,11900,1311,6375
medium,11950,1316,6398
medium,12000,1311,6375
medium,12050,1310,6369
medium,12100,1310,6369
medium,12150,1316,6398
medium,12200,1306,6351
medium,12250,1311,6375
medium,12300,1309,6363
medium,12350,1315,6392
medium,12400,1307,6357
medium,12450,1236,6010
medium,12500,1311,6375
medium,12550,1315,6392
medium,12600,1315,6392
medium,12650,1310,6369
medium,12700,1309,6363
medium,12750,1315,6392
medium,12800,1312,6381
medium,12850,1311,6375
medium,12900,1311,6375
medium,12950,1309,6363
